Sentence_ID,Sentence_Text,Annotator,Label,Confidence
1,"I started going for walks after dinner instead of sitting on the couch, and I actually enjoy it.",Apoorva,Sattva,Medium
1,"I started going for walks after dinner instead of sitting on the couch, and I actually enjoy it.",Nidhi,Rajas,Medium
1,"I started going for walks after dinner instead of sitting on the couch, and I actually enjoy it.",Sunny,Sattva,Medium
5,"I've been taking my medication regularly now, and I can feel the difference.",Apoorva,Rajas,Medium
5,"I've been taking my medication regularly now, and I can feel the difference.",Nidhi,Rajas,High
5,"I've been taking my medication regularly now, and I can feel the difference.",Sunny,Rajas,Medium
6,The main reason I want to change is for my kids. I want to be around to see them grow up.,Apoorva,Tamas,Medium
6,The main reason I want to change is for my kids. I want to be around to see them grow up.,Nidhi,Rajas,High
6,The main reason I want to change is for my kids. I want to be around to see them grow up.,Sunny,Tamas,High
8,"I felt unheard and frustrated, which only worsened my physical discomfort.",Apoorva,Tamas,High
8,"I felt unheard and frustrated, which only worsened my physical discomfort.",Nidhi,Tamas,High
8,"I felt unheard and frustrated, which only worsened my physical discomfort.",Sunny,Tamas,High
9,I feel stuck in this emotional turmoil and can't seem to find a way out.,Apoorva,Tamas,High
9,I feel stuck in this emotional turmoil and can't seem to find a way out.,Nidhi,Tamas,High
9,I feel stuck in this emotional turmoil and can't seem to find a way out.,Sunny,Tamas,Medium
10,I would appreciate guidance on effective strategies for overcoming these obstacles and staying motivated throughout the process.,Apoorva,Rajas,High
10,I would appreciate guidance on effective strategies for overcoming these obstacles and staying motivated throughout the process.,Nidhi,Sattva,Medium
10,I would appreciate guidance on effective strategies for overcoming these obstacles and staying motivated throughout the process.,Sunny,Rajas,Medium
11,"I've been tracking my food intake, and I realized I was eating way more than I thought.",Apoorva,Sattva,Medium
11,"I've been tracking my food intake, and I realized I was eating way more than I thought.",Nidhi,Sattva,High
11,"I've been tracking my food intake, and I realized I was eating way more than I thought.",Sunny,Tamas,High
12,I've noticed that my cravings are strongest in the afternoon around 3 o'clock.,Apoorva,Sattva,High
12,I've noticed that my cravings are strongest in the afternoon around 3 o'clock.,Nidhi,Tamas,Medium
12,I've noticed that my cravings are strongest in the afternoon around 3 o'clock.,Sunny,Tamas,Medium
13,"It's been three months now since I last used, and I've been doing pretty well.",Apoorva,Sattva,High
13,"It's been three months now since I last used, and I've been doing pretty well.",Nidhi,Sattva,High
13,"It's been three months now since I last used, and I've been doing pretty well.",Sunny,Rajas,Medium
15,"I've been journaling about my triggers, and it's helping me understand my patterns.",Apoorva,Rajas,Medium
15,"I've been journaling about my triggers, and it's helping me understand my patterns.",Nidhi,Sattva,High
15,"I've been journaling about my triggers, and it's helping me understand my patterns.",Sunny,Rajas,Medium
16,I want to understand why I'm feeling this way and find ways to regain control over my thoughts and emotions.,Apoorva,Sattva,Medium
16,I want to understand why I'm feeling this way and find ways to regain control over my thoughts and emotions.,Nidhi,Sattva,Medium
16,I want to understand why I'm feeling this way and find ways to regain control over my thoughts and emotions.,Sunny,Sattva,Medium
18,Instant gratification seems much more appealing than focusing on long-term goals.,Apoorva,Tamas,High
18,Instant gratification seems much more appealing than focusing on long-term goals.,Nidhi,Rajas,High
18,Instant gratification seems much more appealing than focusing on long-term goals.,Sunny,Rajas,High
19,I feel stuck. Like I want to move forward but something keeps holding me back.,Apoorva,Tamas,High
19,I feel stuck. Like I want to move forward but something keeps holding me back.,Nidhi,Tamas,High
19,I feel stuck. Like I want to move forward but something keeps holding me back.,Sunny,Tamas,Medium
20,I would love to explore ways to overcome this barrier and build authentic connections with others.,Apoorva,Rajas,Medium
20,I would love to explore ways to overcome this barrier and build authentic connections with others.,Nidhi,Sattva,Medium
20,I would love to explore ways to overcome this barrier and build authentic connections with others.,Sunny,Rajas,Low
23,"When I'm around my old friends, it's really hard not to fall back into old habits.",Apoorva,Tamas,High
23,"When I'm around my old friends, it's really hard not to fall back into old habits.",Nidhi,Tamas,High
23,"When I'm around my old friends, it's really hard not to fall back into old habits.",Sunny,Tamas,Medium
27,What's the point? I've tried to quit drinking before and it never works.,Apoorva,Tamas,High
27,What's the point? I've tried to quit drinking before and it never works.,Nidhi,Rajas,Medium
27,What's the point? I've tried to quit drinking before and it never works.,Sunny,Tamas,Low
28,"She kept repeating the phrase, 'You'll never amount to anything,' over and over again.",Apoorva,Tamas,High
28,"She kept repeating the phrase, 'You'll never amount to anything,' over and over again.",Nidhi,Tamas,High
28,"She kept repeating the phrase, 'You'll never amount to anything,' over and over again.",Sunny,Tamas,Low
30,"I keep making excuses for why I can't exercise, but deep down I know they're just excuses.",Apoorva,Sattva,High
30,"I keep making excuses for why I can't exercise, but deep down I know they're just excuses.",Nidhi,Sattva,High
30,"I keep making excuses for why I can't exercise, but deep down I know they're just excuses.",Sunny,Sattva,Medium
31,I don't really have a problem. I can stop whenever I want to.,Apoorva,Sattva,High
31,I don't really have a problem. I can stop whenever I want to.,Nidhi,Sattva,High
31,I don't really have a problem. I can stop whenever I want to.,Sunny,Tamas,Medium
32,"Last week I turned down a drink at a party, and honestly, it felt good.",Apoorva,Sattva,High
32,"Last week I turned down a drink at a party, and honestly, it felt good.",Nidhi,Rajas,Medium
32,"Last week I turned down a drink at a party, and honestly, it felt good.",Sunny,Rajas,Medium
33,It's frightening to experience these dark moments.,Apoorva,Tamas,High
33,It's frightening to experience these dark moments.,Nidhi,Rajas,Low
33,It's frightening to experience these dark moments.,Sunny,Tamas,Medium
38,I don't really see why I need to change. Things are fine the way they are.,Apoorva,Tamas,High
38,I don't really see why I need to change. Things are fine the way they are.,Nidhi,Sattva,High
38,I don't really see why I need to change. Things are fine the way they are.,Sunny,Tamas,High
40,"I'm scared that if I quit, I won't know how to handle stress anymore.",Apoorva,Tamas,High
40,"I'm scared that if I quit, I won't know how to handle stress anymore.",Nidhi,Rajas,High
40,"I'm scared that if I quit, I won't know how to handle stress anymore.",Sunny,Tamas,Low
41,My friends say I'm more fun when I drink. What if they don't like the sober me?,Apoorva,Tamas,High
41,My friends say I'm more fun when I drink. What if they don't like the sober me?,Nidhi,Tamas,Low
41,My friends say I'm more fun when I drink. What if they don't like the sober me?,Sunny,Rajas,Medium
43,Talking to others in the support group helped me realize I'm not alone in this.,Apoorva,Sattva,Medium
43,Talking to others in the support group helped me realize I'm not alone in this.,Nidhi,Rajas,High
43,Talking to others in the support group helped me realize I'm not alone in this.,Sunny,Rajas,Low
44,I just don't know where to start.,Apoorva,Tamas,High
44,I just don't know where to start.,Nidhi,Tamas,High
44,I just don't know where to start.,Sunny,Tamas,Medium
46,"I'm worried that without alcohol, I won't be able to relax or have fun.",Apoorva,Tamas,High
46,"I'm worried that without alcohol, I won't be able to relax or have fun.",Nidhi,Tamas,High
46,"I'm worried that without alcohol, I won't be able to relax or have fun.",Sunny,Rajas,Medium
47,I want to understand why these attacks are happening more frequently and learn techniques to manage them effectively.,Apoorva,Sattva,High
47,I want to understand why these attacks are happening more frequently and learn techniques to manage them effectively.,Nidhi,Sattva,High
47,I want to understand why these attacks are happening more frequently and learn techniques to manage them effectively.,Sunny,Rajas,Medium
49,"I've replaced my evening beer with herbal tea, and honestly, it's not as bad as I thought.",Apoorva,Sattva,High
49,"I've replaced my evening beer with herbal tea, and honestly, it's not as bad as I thought.",Nidhi,Sattva,Medium
49,"I've replaced my evening beer with herbal tea, and honestly, it's not as bad as I thought.",Sunny,Sattva,Medium
50,Everyone in my family drinks. It's just what we do. I don't see it as a big deal.,Apoorva,Tamas,High
50,Everyone in my family drinks. It's just what we do. I don't see it as a big deal.,Nidhi,Sattva,Low
50,Everyone in my family drinks. It's just what we do. I don't see it as a big deal.,Sunny,Tamas,Medium
52,Sometimes I think it would be easier to just give up and accept this is who I am.,Apoorva,Tamas,High
52,Sometimes I think it would be easier to just give up and accept this is who I am.,Nidhi,Rajas,Low
52,Sometimes I think it would be easier to just give up and accept this is who I am.,Sunny,Tamas,High
53,"I tried going to the gym, but I felt so out of place. Everyone there is already fit.",Apoorva,Tamas,High
53,"I tried going to the gym, but I felt so out of place. Everyone there is already fit.",Nidhi,Tamas,Low
53,"I tried going to the gym, but I felt so out of place. Everyone there is already fit.",Sunny,Rajas,Low
54,"Negative thoughts constantly bombard my mind, telling me I'm not good enough.",Apoorva,Tamas,Medium
54,"Negative thoughts constantly bombard my mind, telling me I'm not good enough.",Nidhi,Tamas,High
54,"Negative thoughts constantly bombard my mind, telling me I'm not good enough.",Sunny,Tamas,Medium
56,"I met some new friends in my neighborhood who don't drink, and that's been really good for me.",Apoorva,Sattva,Medium
56,"I met some new friends in my neighborhood who don't drink, and that's been really good for me.",Nidhi,Sattva,High
56,"I met some new friends in my neighborhood who don't drink, and that's been really good for me.",Sunny,Sattva,Low
57,"Thoughts of doubt and low self-worth start to consume me, making it difficult to break free.",Apoorva,Rajas,Low
57,"Thoughts of doubt and low self-worth start to consume me, making it difficult to break free.",Nidhi,Tamas,High
57,"Thoughts of doubt and low self-worth start to consume me, making it difficult to break free.",Sunny,Tamas,High
58,The constant battles with the insurance company have left me feeling helpless and drained.,Apoorva,Tamas,High
58,The constant battles with the insurance company have left me feeling helpless and drained.,Nidhi,Tamas,High
58,The constant battles with the insurance company have left me feeling helpless and drained.,Sunny,Tamas,High
59,"My doctor told me my blood pressure is too high, and that was a wake-up call.",Apoorva,Tamas,High
59,"My doctor told me my blood pressure is too high, and that was a wake-up call.",Nidhi,Rajas,High
