Sentence_ID,Text,Guna_Majority,valence,arousal,dominance,matched_words,total_words
1,"I started going for walks after dinner instead of sitting on the couch, and I actually enjoy it.",Sattva,0.16061538461538463,-0.08276923076923076,-0.04415384615384616,13,18
5,"I've been taking my medication regularly now, and I can feel the difference.",Rajas,0.18162499999999998,-0.12575,0.06649999999999999,8,14
6,The main reason I want to change is for my kids. I want to be around to see them grow up.,Tamas,0.2709411764705883,0.026235294117647055,0.1375294117647059,17,21
8,"I felt unheard and frustrated, which only worsened my physical discomfort.",Tamas,-0.1325,0.0865,-0.064625,8,11
9,I feel stuck in this emotional turmoil and can't seem to find a way out.,Tamas,0.053166666666666675,0.05666666666666668,-0.07066666666666667,12,16
10,I would appreciate guidance on effective strategies for overcoming these obstacles and staying motivated throughout the process.,Rajas,0.298,0.12369230769230768,0.3351538461538462,13,17
11,"I've been tracking my food intake, and I realized I was eating way more than I thought.",Sattva,0.3573,-0.259,0.11909999999999998,10,18
12,I've noticed that my cravings are strongest in the afternoon around 3 o'clock.,Tamas,0.16342857142857145,-0.04514285714285714,0.05499999999999999,7,14
13,"It's been three months now since I last used, and I've been doing pretty well.",Sattva,0.14763636363636365,-0.3175454545454545,-0.07054545454545455,11,17
15,"I've been journaling about my triggers, and it's helping me understand my patterns.",Rajas,0.10400000000000001,-0.2476,0.057199999999999994,5,15
16,I want to understand why I'm feeling this way and find ways to regain control over my thoughts and emotions.,Sattva,0.23525,-0.01987499999999999,0.1431875,16,21
18,Instant gratification seems much more appealing than focusing on long-term goals.,Rajas,0.289,-0.07625000000000001,0.287,8,12
19,I feel stuck. Like I want to move forward but something keeps holding me back.,Tamas,0.16581818181818184,0.00690909090909091,0.06381818181818183,11,15
20,I would love to explore ways to overcome this barrier and build authentic connections with others.,Rajas,0.2613571428571429,0.08078571428571428,0.13885714285714287,14,16
23,"When I'm around my old friends, it's really hard not to fall back into old habits.",Tamas,-0.030444444444444434,-0.007555555555555556,-0.048666666666666684,9,18
27,What's the point? I've tried to quit drinking before and it never works.,Tamas,0.008181818181818184,-0.06445454545454544,-0.041363636363636366,11,15
28,"She kept repeating the phrase, 'You'll never amount to anything,' over and over again.",Tamas,-0.0216,-0.093,0.07520000000000002,10,15
30,"I keep making excuses for why I can't exercise, but deep down I know they're just excuses.",Sattva,0.16436363636363635,-0.01045454545454546,0.0710909090909091,11,19
31,I don't really have a problem. I can stop whenever I want to.,Sattva,0.04875,-0.01750000000000001,0.02000000000000001,8,14
32,"Last week I turned down a drink at a party, and honestly, it felt good.",Rajas,0.2165,-0.08825000000000001,-0.028249999999999973,12,15
33,It's frightening to experience these dark moments.,Tamas,-0.11766666666666666,0.11766666666666666,0.058666666666666666,6,8
38,I don't really see why I need to change. Things are fine the way they are.,Tamas,0.123,-0.08825,-0.06466666666666666,12,17
40,"I'm scared that if I quit, I won't know how to handle stress anymore.",Tamas,-0.0636,0.1121,-0.040600000000000004,10,16
41,My friends say I'm more fun when I drink. What if they don't like the sober me?,Tamas,0.33258333333333334,-0.03983333333333332,0.13633333333333333,12,19
43,Talking to others in the support group helped me realize I'm not alone in this.,Rajas,0.183,-0.12414285714285714,-0.04057142857142857,7,16
44,I just don't know where to start.,Tamas,0.3033333333333333,-0.085,0.25233333333333335,6,8
46,"I'm worried that without alcohol, I won't be able to relax or have fun.",Tamas,0.14500000000000002,0.013300000000000011,0.004200000000000004,10,16
47,I want to understand why these attacks are happening more frequently and learn techniques to manage them effectively.,Sattva,0.2458666666666667,0.10773333333333333,0.22240000000000001,15,18
49,"I've replaced my evening beer with herbal tea, and honestly, it's not as bad as I thought.",Sattva,0.08292307692307693,-0.10992307692307694,-0.08223076923076925,13,19
50,Everyone in my family drinks. It's just what we do. I don't see it as a big deal.,Tamas,0.31678571428571434,-0.02078571428571429,0.13564285714285715,14,20
52,Sometimes I think it would be easier to just give up and accept this is who I am.,Tamas,0.2751428571428571,-0.09871428571428571,0.08785714285714286,14,18
53,"I tried going to the gym, but I felt so out of place. Everyone there is already fit.",Tamas,0.08271428571428571,0.037214285714285714,0.05235714285714287,14,18
54,"Negative thoughts constantly bombard my mind, telling me I'm not good enough.",Tamas,0.087,0.0026249999999999885,0.09975,8,13
56,"I met some new friends in my neighborhood who don't drink, and that's been really good for me.",Sattva,0.27399999999999997,-0.10141666666666667,0.0385,12,20
57,"Thoughts of doubt and low self-worth start to consume me, making it difficult to break free.",Tamas,0.11466666666666668,-0.10573333333333333,-0.012133333333333338,15,17
58,The constant battles with the insurance company have left me feeling helpless and drained.,Tamas,0.13820000000000002,-0.2044,0.07199999999999998,10,14
