text,true_label,predicted_label,gpt4_response,correct
"I started going for walks after dinner instead of sitting on the couch, and I actually enjoy it.",2,1,Rajas,False
"I've been taking my medication regularly now, and I can feel the difference.",1,2,Sattva,False
The main reason I want to change is for my kids. I want to be around to see them grow up.,0,1,Rajas,False
"I felt unheard and frustrated, which only worsened my physical discomfort.",0,0,Tamas,True
I feel stuck in this emotional turmoil and can't seem to find a way out.,0,0,Tamas,True
I would appreciate guidance on effective strategies for overcoming these obstacles and staying motivated throughout the process.,1,1,Rajas,True
"I've been tracking my food intake, and I realized I was eating way more than I thought.",2,2,Sattva,True
I've noticed that my cravings are strongest in the afternoon around 3 o'clock.,0,2,Sattva,False
"It's been three months now since I last used, and I've been doing pretty well.",2,2,Sattva,True
"I've been journaling about my triggers, and it's helping me understand my patterns.",1,2,Sattva,False
I want to understand why I'm feeling this way and find ways to regain control over my thoughts and emotions.,2,2,Sattva,True
Instant gratification seems much more appealing than focusing on long-term goals.,1,1,Rajas,True
I feel stuck. Like I want to move forward but something keeps holding me back.,0,0,Tamas,True
I would love to explore ways to overcome this barrier and build authentic connections with others.,1,1,Rajas,True
"When I'm around my old friends, it's really hard not to fall back into old habits.",0,0,Tamas,True
What's the point? I've tried to quit drinking before and it never works.,0,0,Tamas,True
"She kept repeating the phrase, 'You'll never amount to anything,' over and over again.",0,0,Tamas,True
"I keep making excuses for why I can't exercise, but deep down I know they're just excuses.",2,0,Tamas,False
I don't really have a problem. I can stop whenever I want to.,2,0,Tamas,False
"Last week I turned down a drink at a party, and honestly, it felt good.",1,2,Sattva,False
It's frightening to experience these dark moments.,0,0,Tamas,True
I don't really see why I need to change. Things are fine the way they are.,0,0,Tamas,True
"I'm scared that if I quit, I won't know how to handle stress anymore.",0,0,Tamas,True
My friends say I'm more fun when I drink. What if they don't like the sober me?,0,0,Tamas,True
Talking to others in the support group helped me realize I'm not alone in this.,1,2,Sattva,False
I just don't know where to start.,0,0,Tamas,True
"I'm worried that without alcohol, I won't be able to relax or have fun.",0,0,Tamas,True
I want to understand why these attacks are happening more frequently and learn techniques to manage them effectively.,2,2,Sattva,True
"I've replaced my evening beer with herbal tea, and honestly, it's not as bad as I thought.",2,2,Sattva,True
Everyone in my family drinks. It's just what we do. I don't see it as a big deal.,0,0,Tamas,True
Sometimes I think it would be easier to just give up and accept this is who I am.,0,0,Tamas,True
"I tried going to the gym, but I felt so out of place. Everyone there is already fit.",0,0,Tamas,True
"Negative thoughts constantly bombard my mind, telling me I'm not good enough.",0,0,Tamas,True
"I met some new friends in my neighborhood who don't drink, and that's been really good for me.",2,2,Sattva,True
"Thoughts of doubt and low self-worth start to consume me, making it difficult to break free.",0,0,Tamas,True
The constant battles with the insurance company have left me feeling helpless and drained.,0,0,Tamas,True
"My doctor told me my blood pressure is too high, and that was a wake-up call.",1,1,Rajas,True
I'm desperate to break free from this heaviness and rediscover joy in my life.,1,1,Rajas,True
"I've been using the breathing exercises you taught me, and it helps me get through the stressful moments.",2,2,Sattva,True
I'd like to work on addressing this pattern and learning to face challenges head-on.,2,1,Rajas,False
I often wonder what the point of it all is.,0,0,Tamas,True
"Stress seems to consume me, and I struggle to relax or enjoy activities I used to love.",0,0,Tamas,True
"Part of me wants to change, but another part of me is terrified of what that means.",1,1,Rajas,True
"I've set a goal to walk 10,000 steps a day, and I've hit it every day this week.",1,1,Rajas,True
I realized that drinking was my way of avoiding dealing with my problems.,1,2,Sattva,False
It's isolating and frustrating to experience these emotions daily.,0,0,Tamas,True
"I've been having intrusive thoughts about my past, and I can't seem to shake them off.",0,0,Tamas,True
"Even mundane tasks become overwhelming, and it feels as though a heavy cloud is constantly hanging over me.",0,0,Tamas,True
"Each day feels like a struggle to get out of bed, and I constantly question my worth and purpose in life.",0,0,Tamas,True
I want to find healing from this trauma and reclaim control over my life.,2,1,Rajas,False
I don't want to be one of those people who needs a drink to get through the day.,2,2,Sattva,True
"I've started cooking at home instead of getting takeout, and it's been nice.",2,2,Sattva,True
"I want to believe I can change, but I've failed so many times before.",1,0,Tamas,False
"I constantly feel overwhelmed, exhausted, and on edge.",0,0,Tamas,True
"Quitting smoking is the hardest thing I've ever done, but I'm still trying.",1,1,Rajas,True
I've been putting off making changes because I keep waiting for the perfect time.,0,0,Tamas,True
"I've been feeling increasingly isolated, and I can't seem to connect with my colleagues or build meaningful relationships.",0,0,Tamas,True
"I've started meditating for ten minutes every morning, and it's made a difference.",2,2,Sattva,True
How can I break this cycle and promote reconciliation among family members?,2,1,Rajas,False
I don't know if I have what it takes to actually make this change.,0,0,Tamas,True
"I've been sober for two weeks, and I'm sleeping better than I have in years.",2,2,Sattva,True
I constantly worry about the future and catastrophize every situation.,0,1,Rajas,False
I plan to focus on the present moment and practice mindfulness techniques to help me stay grounded and focused.,2,2,Sattva,True
"My thoughts often turn negative, and it's hard to find motivation or energy to do anything.",0,0,Tamas,True
"I know all the reasons why I should change, but knowing isn't the same as doing.",0,0,Tamas,True
"My wife keeps nagging me about my drinking, but she doesn't understand how hard my job is.",0,0,Tamas,True
"I finally told my family about my struggles, and their support means everything.",1,2,Sattva,False
"I want to lose weight, but I just can't seem to stick to any diet.",1,0,Tamas,False
"I don't know if I have the energy to put into making friends, especially when I've failed at it so many times before.",0,0,Tamas,True
The hardest part is the evenings when I'm alone and bored.,0,0,Tamas,True
"I aspire to make our manual approachable, fostering a sense of comfort and ease.",2,2,Sattva,True
I don't want to get stuck in a routine where I'm only focused on caregiving and neglecting my own needs.,2,1,Rajas,False
The effort required to fix these issues feels insurmountable.,0,0,Tamas,True
"I can't seem to find any meaning or motivation in my routine, and it's leaving me feeling lost and disconnected.",0,0,Tamas,True
I can't help but feel like I'm failing as a wife and mother when I can't provide him with a home-cooked meal.,0,0,Tamas,True
"Deep down, I feel absolutely empty. It's as if all emotions have been drained from me, leaving behind an overwhelming sense of nothingness.",0,0,Tamas,True
Even getting out of bed requires an immense effort.,0,0,Tamas,True
I can't help but worry about my partner and how they're doing.,1,1,Rajas,True
I'm struggling to move on. It's been hard for me to let go of the relationship and accept that it's over.,0,0,Tamas,True
"I constantly feel tired and drained, both physically and emotionally.",0,0,Tamas,True
"I slipped up last weekend, but instead of giving up, I got back on track Monday.",1,1,Rajas,True
I hope to achieve a sense of calmness and control through this counseling session.,1,2,Sattva,False
I'm taking it one day at a time. That's all I can do.,2,2,Sattva,True
"I know I should quit smoking, but honestly, I'm not sure I really want to.",0,0,Tamas,True
I don't think I'm ready to quit completely. Maybe I can just cut back.,0,1,Rajas,False
I hope to gain a better understanding of why intimacy feels so scary for me and learn ways to overcome this fear.,2,2,Sattva,True
"I've cut down from a pack a day to just five cigarettes. That's progress, right?",1,1,Rajas,True
I feel like I'm losing control.,0,0,Tamas,True
"I've always been a go-getter, and I take pride in my ability to adapt to new environments quickly.",1,1,Rajas,True
"The fear of making the wrong choice consumed me, leading to sleepless nights and constant second-guessing.",0,0,Tamas,True
"I've always been the one to take care of everyone else, and I don't want to be a burden.",1,2,Sattva,False
"Thoughts about meeting unreasonable deadlines, making mistakes, and receiving criticism consume me throughout the day.",0,1,Rajas,False
I'm deeply concerned that my grief will prevent me from returning to work soon.,0,0,Tamas,True
I find it challenging to let people get close to me emotionally.,1,0,Tamas,False
"I've noticed that when I exercise in the morning, I feel more focused throughout the day.",2,2,Sattva,True
"Some days I feel really motivated, and other days I just think, why bother?",1,1,Rajas,True
"I've been clean for six months now. It hasn't been easy, but I'm proud of myself.",1,2,Sattva,False
"When I get stressed, I just automatically reach for a cigarette. I don't even think about it.",0,0,Tamas,True
Everything feels dull and meaningless.,0,0,Tamas,True
